event_id,weeks,req_room_type,size,L_slots,assigned_day,assigned_start_hour,room_id,room_campus
E:96XCWW2M9V_1,"10, 11, 12, 13, 15, 16, 17, 18, 19",General Teaching,18,1,Wednesday,10,,
E:XT1KZOCGA6_1,"15, 19",General Teaching,25,2,Monday,15,,
E:NB1S2PULQP_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,20,2,Tuesday,13,,
E:QGLQZOQGIF_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,14,1,Monday,14,,
E:Y2SNRCC5RT_1,"9, 17",General Teaching,120,2,Tuesday,13,,
E:BL11YDBTOH_1,"12, 19",General Teaching,180,1,Thursday,14,,
E:SY5JC9VI2Z_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,16,1,Monday,9,,
E:FG39BZUGGR_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,28,2,Friday,9,,
E:NABDT4QRFR_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,16,1,Wednesday,15,,
E:AE63FPRPRF_1,"32, 33, 34, 35",General Teaching,50,2,Thursday,9,,
E:N7Q98O9PWQ_1,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",General Teaching,30,2,Friday,14,,
E:WXYD62TFKD_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,30,2,Wednesday,13,,
E:V6NXXE8U85_1,"28, 29, 30, 32",General Teaching,35,2,Monday,12,,
E:YO1HJRQDYA_1,"28, 34",Computer Laboratory,40,1,Thursday,10,,
E:FZAVNXQKS8_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,30,2,Thursday,9,,
E:4BQTRUC7RH_1,"10, 11, 12, 13, 15, 16, 17, 18, 19",General Teaching,13,1,Tuesday,12,,
E:VMDGHOACW3_1,"27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,14,1,Friday,16,,
E:76JQWDU9EZ_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,18,1,Thursday,16,,
E:6NNNGFHDL7_1,"26, 27, 28, 29, 30",General Teaching,65,1,Thursday,13,,
E:C6DG51GCBN_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,16,1,Wednesday,12,,
E:64QFP5XCLN_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,23,2,Thursday,11,,
E:HG8QHQ8GZV_1,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",General Teaching,65,2,Friday,14,,
E:5XTJ1AK2O1_1,"26, 27, 28, 29, 30",General Teaching,60,1,Friday,12,,
E:VI5X3CA9JQ_1,"10, 11, 12, 13",General Teaching,43,1,Wednesday,9,,
E:76TU2C3XTK_1,"26, 28, 29, 30",General Teaching,65,2,Tuesday,13,,
E:81A6HRQKBX_1,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",General Teaching,100,1,Monday,10,,
E:BT1DEWFUMG_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,18,1,Friday,14,,
E:9VLC1Y72DW_1,"27, 28, 29, 30, 32",General Teaching,12,2,Monday,16,,
E:3ATFL2BEQV_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,147,2,Friday,11,,
E:APM2M8UCB2_1,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",General Teaching,200,1,Monday,9,,
E:6NHWP9OMEF_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,80,1,Friday,9,,
E:N9V1RDYI7V_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,90,2,Friday,12,,
E:4731HA5XUZ_1,"11, 13, 16, 18",General Teaching,12,2,Wednesday,11,,
E:5TAKAOI36Q_1,"12, 15, 17, 19",General Teaching,12,2,Monday,11,,
E:SZR6U5ZDL7_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,16,1,Thursday,10,,
E:XV4OBV8ARH_1,"26, 27, 29, 30",General Teaching,70,2,Tuesday,15,,
E:T7NW9NU2R7_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,16,1,Friday,16,,
E:IT6GQHICU1_1,"26, 27, 29, 32, 33, 34, 35, 36",General Teaching,40,2,Monday,10,,
E:K1LAFFSPL6_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,25,2,Friday,12,,
E:NM7Y8JAB8Y_1,"27, 28, 29, 30, 32",General Teaching,12,2,Thursday,15,,
E:EBCT2AABHB_1,"12, 15",General Teaching,50,2,Friday,15,,
E:KWZSQI1QFR_1,"27, 28, 29, 30, 32",General Teaching,12,2,Tuesday,11,,
E:2R9N1B6AZQ_1,"32, 33, 34, 35, 36",General Teaching,45,3,Thursday,12,,
E:3Z5U4ZLBIM_1,"28, 29",Computer Laboratory,44,1,Monday,15,,
E:8HLZEZ5B49_1,"10, 11, 12, 13, 15, 16, 17, 18, 19",General Teaching,13,1,Wednesday,15,,
E:6B12X6EAZE_1,"10, 11, 12, 13, 15, 16, 17, 18, 19",General Teaching,17,1,Tuesday,9,,
E:G18PKMB4H3_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,18,1,Tuesday,16,,
E:AARCNYGD1Y_1,"9, 10, 11, 12, 13",General Teaching,65,1,Monday,10,,
E:OIW7OWY9XW_1,"10, 11",No room required,9,7,Monday,9,,
E:HM8FLCOMT6_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,16,1,Tuesday,9,,
E:D5IOE3EVAV_1,"9, 10, 11, 12, 13",General Teaching,125,2,Thursday,13,,
E:JELOTYI94V_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,24,2,Friday,11,,
E:UZTHROVNNC_1,"27, 28, 29, 30, 32, 33, 34, 35",General Teaching,20,2,Tuesday,11,,
E:JPN41G47R9_1,"27, 28, 29",Computer Laboratory,25,1,Friday,11,,
E:9GD1D6X6AO-00001_1,"10, 11",General Teaching,80,2,Friday,10,,
E:ERK93X2KC9_1,"28, 30, 35",General Teaching,20,2,Wednesday,15,,
E:L1239ANG5V_1,"10, 14, 19",No room required,24,2,Monday,9,,
E:4BSAVP83Q8_1,"11, 12, 13, 16, 17, 18",General Teaching,33,1,Thursday,11,,
E:KGQ1OUGIVC_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",No room required,26,2,Monday,9,,
E:MXKHS3XJDQ_1,"32, 33, 34, 35, 36",General Teaching,60,2,Tuesday,12,,
E:S7RL29I5UD_1,"27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,14,1,Wednesday,17,,
E:VMVOTLEOD7_1,"10, 11, 12, 13, 15, 16, 17, 18, 19",General Teaching,13,1,Thursday,9,,
E:2UGT1BG3HK_1,"10, 11, 12",General Teaching,50,1,Tuesday,12,,
E:NVBM4J7H96_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,12,1,Wednesday,9,,
E:1TJIRZBZWJ_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,18,1,Wednesday,14,,
E:M9RBKCGYGR_1,"30, 32, 33, 34, 35, 36, 37",General Teaching,6,2,Tuesday,12,,
E:6E5SSQRMOQ_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,16,1,Monday,13,,
E:X7PGPCL4RX_1,"35, 36",General Teaching,8,2,Tuesday,10,,
E:DFMFFHBMLI_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,18,1,Friday,17,,
E:FXLEOE44SU_1,"35, 36",General Teaching,8,2,Thursday,12,,
E:2UYQNP5EXH_1,"10, 12, 17",Computer Laboratory,25,1,Monday,9,,
E:7QSKBQMW1L_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,25,2,Wednesday,10,,
E:WKEE42R592_1,"28, 34",Computer Laboratory,40,1,Friday,14,,
E:W831HKZUOC_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,16,1,Wednesday,11,,
E:B65XY9STIU_1,"26, 27",General Teaching,120,2,Wednesday,14,,
E:6SWGFLGAKD_1,"10, 14, 19",No room required,24,2,Monday,9,,
E:SAVNSZ8CHL_1,"28, 30, 34",Computer Laboratory,28,1,Thursday,17,,
E:XXNJO7CEHD_1,"11, 17",Computer Laboratory,44,1,Wednesday,14,,
E:FKNT5BCN6S_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,24,2,Friday,9,,
E:G1SCURZTTV_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,22,1,Wednesday,9,,
E:CWSZZMQ9EQ_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",Computer Laboratory,44,1,Friday,13,,
E:588NBH5L6U_1,"27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,10,1,Monday,10,,
E:UO5JDWPJPF_1,"10, 12, 16, 18",General Teaching,15,1,Monday,11,,
E:JANPI6NTLI_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,19,1,Thursday,12,,
E:N826VTZKXB_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,19,1,Monday,17,,
E:JOUB7555HW_1,"11, 12, 15, 18",General Teaching,25,1,Tuesday,17,,
E:ZRCSXQXWDM_1,"10, 11, 12, 13, 15, 16, 17, 18",General Teaching,80,2,Friday,13,,
E:RAD7HST47V_1,"12, 13, 15, 16, 17, 18",General Teaching,30,1,Monday,12,,
E:IP4FLLNKA5_1,"15, 16, 17, 18, 19",General Teaching,32,2,Wednesday,9,,
E:RV6J6RK16I_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,18,1,Tuesday,12,,
E:N3E7F4QURW-00001_1,"32, 33, 34, 35, 36",General Teaching,140,2,Tuesday,12,,
