event_id,weeks,req_room_type,size,L_slots,assigned_day,assigned_start_hour,room_id,room_campus
E:96XCWW2M9V,"10, 11",General Teaching,18,1,Monday,15,,
E:XT1KZOCGA6,"15, 19",General Teaching,25,2,Wednesday,12,,
E:NB1S2PULQP,"11, 12",General Teaching,20,2,Friday,12,,
E:QGLQZOQGIF,"11, 12",General Teaching,14,1,Monday,15,,
E:Y2SNRCC5RT,"9, 17",General Teaching,120,2,Monday,13,,
E:BL11YDBTOH,"12, 19",General Teaching,180,1,Thursday,17,,
E:SY5JC9VI2Z,"11, 12",General Teaching,16,1,Monday,17,,
E:FG39BZUGGR,"28, 29",General Teaching,28,2,Friday,11,,
E:NABDT4QRFR,"11, 12",General Teaching,16,1,Monday,15,,
E:AE63FPRPRF,"32, 33",General Teaching,50,2,Tuesday,14,,
E:N7Q98O9PWQ,"9, 10",General Teaching,30,2,Monday,12,,
E:WXYD62TFKD,"28, 29",General Teaching,30,2,Thursday,11,,
E:V6NXXE8U85,"28, 29",General Teaching,35,2,Friday,14,,
E:YO1HJRQDYA,"28, 34",Computer Laboratory,40,1,Monday,10,,
E:FZAVNXQKS8,"11, 12",General Teaching,30,2,Monday,14,,
E:4BQTRUC7RH,"10, 11",General Teaching,13,1,Tuesday,16,,
E:VMDGHOACW3,"27, 28",General Teaching,14,1,Thursday,12,,
E:76JQWDU9EZ,"28, 29",General Teaching,18,1,Monday,14,,
E:6NNNGFHDL7,"26, 27",General Teaching,65,1,Tuesday,10,,
E:C6DG51GCBN,"11, 12",General Teaching,16,1,Monday,14,,
E:64QFP5XCLN,"28, 29",General Teaching,23,2,Friday,11,,
E:HG8QHQ8GZV,"9, 10",General Teaching,65,2,Monday,12,,
E:5XTJ1AK2O1,"26, 27",General Teaching,60,1,Monday,9,,
E:VI5X3CA9JQ,"10, 11",General Teaching,43,1,Wednesday,9,,
E:76TU2C3XTK,"26, 28",General Teaching,65,2,Friday,14,,
E:81A6HRQKBX,"9, 10",General Teaching,100,1,Friday,16,,
E:BT1DEWFUMG,"11, 12",General Teaching,18,1,Tuesday,14,,
E:9VLC1Y72DW,"27, 28",General Teaching,12,2,Monday,16,,
E:3ATFL2BEQV,"26, 27",General Teaching,147,2,Tuesday,9,,
E:APM2M8UCB2,"9, 10",General Teaching,200,1,Friday,9,,
E:6NHWP9OMEF,"26, 27",General Teaching,80,1,Tuesday,10,,
E:N9V1RDYI7V,"26, 27",General Teaching,90,2,Tuesday,9,,
E:4731HA5XUZ,"11, 13",General Teaching,12,2,Monday,10,,
E:5TAKAOI36Q,"12, 15",General Teaching,12,2,Wednesday,12,,
E:SZR6U5ZDL7,"11, 12",General Teaching,16,1,Monday,17,,
E:XV4OBV8ARH,"26, 27",General Teaching,70,2,Tuesday,9,,
E:T7NW9NU2R7,"11, 12",General Teaching,16,1,Tuesday,14,,
E:IT6GQHICU1,"26, 27",General Teaching,40,2,Tuesday,9,,
E:K1LAFFSPL6,"28, 29",General Teaching,25,2,Thursday,10,,
E:NM7Y8JAB8Y,"27, 28",General Teaching,12,2,Tuesday,9,,
E:EBCT2AABHB,"12, 15",General Teaching,50,2,Wednesday,12,,
E:KWZSQI1QFR,"27, 28",General Teaching,12,2,Monday,16,,
E:2R9N1B6AZQ,"32, 33",General Teaching,45,3,Tuesday,14,,
E:3Z5U4ZLBIM,"28, 29",Computer Laboratory,44,1,Wednesday,10,,
E:8HLZEZ5B49,"10, 11",General Teaching,13,1,Thursday,13,,
E:6B12X6EAZE,"10, 11",General Teaching,17,1,Friday,14,,
E:G18PKMB4H3,"11, 12",General Teaching,18,1,Monday,14,,
E:AARCNYGD1Y,"9, 10",General Teaching,65,1,Thursday,13,,
E:OIW7OWY9XW,"10, 11",No room required,9,7,Monday,9,,
E:HM8FLCOMT6,"11, 12",General Teaching,16,1,Thursday,16,,
E:D5IOE3EVAV,"9, 10",General Teaching,125,2,Monday,12,,
E:JELOTYI94V,"11, 12",General Teaching,24,2,Thursday,14,,
E:UZTHROVNNC,"27, 28",General Teaching,20,2,Friday,14,,
E:JPN41G47R9,"27, 28",Computer Laboratory,25,1,Wednesday,13,,
E:9GD1D6X6AO-00001,"10, 11",General Teaching,80,2,Friday,11,,
E:ERK93X2KC9,"28, 30",General Teaching,20,2,Friday,14,,
E:L1239ANG5V,"10, 14",No room required,24,2,Monday,9,,
E:4BSAVP83Q8,"11, 12",General Teaching,33,1,Monday,15,,
E:KGQ1OUGIVC,"26, 27",No room required,26,2,Monday,9,,
