event_id,weeks,req_room_type,size,L_slots,assigned_day,assigned_start_hour,room_id,room_campus,week
E:96XCWW2M9V,"10, 11",General Teaching,18,1,Monday,15,0401_00_G.19,New College,10
E:96XCWW2M9V,"10, 11",General Teaching,18,1,Monday,15,0201_02_2.06,Central,11
E:XT1KZOCGA6,"15, 19",General Teaching,25,2,Wednesday,12,0110_02_2.01,Central,19
E:XT1KZOCGA6,"15, 19",General Teaching,25,2,Wednesday,12,0228_09_9.18,Central,15
E:NB1S2PULQP,"11, 12",General Teaching,20,2,Friday,12,0113_01_1.42,Central,11
E:NB1S2PULQP,"11, 12",General Teaching,20,2,Friday,12,0201_01_1.05,Central,12
E:QGLQZOQGIF,"11, 12",General Teaching,14,1,Monday,15,0335_00_G.17,Central,11
E:QGLQZOQGIF,"11, 12",General Teaching,14,1,Monday,15,0591_-1_B1.10,Holyrood,12
E:Y2SNRCC5RT,"9, 17",General Teaching,120,2,Monday,13,0608_00_G.27,Kings Buildings,9
E:Y2SNRCC5RT,"9, 17",General Teaching,120,2,Monday,13,0335_00_G.01,Central,17
E:BL11YDBTOH,"12, 19",General Teaching,180,1,Thursday,17,2302_00_EG.02,Western General,19
E:BL11YDBTOH,"12, 19",General Teaching,180,1,Thursday,17,2302_00_EG.02,Western General,12
E:SY5JC9VI2Z,"11, 12",General Teaching,16,1,Monday,17,0228_09_9.01,Central,11
E:SY5JC9VI2Z,"11, 12",General Teaching,16,1,Monday,17,0591_-1_B1.01,Holyrood,12
E:FG39BZUGGR,"28, 29",General Teaching,28,2,Friday,11,0251_01_1.01,Central,28
E:FG39BZUGGR,"28, 29",General Teaching,28,2,Friday,11,0251_01_1.01,Central,29
E:NABDT4QRFR,"11, 12",General Teaching,16,1,Monday,15,0335_02_2.4,Central,11
E:NABDT4QRFR,"11, 12",General Teaching,16,1,Monday,15,0001_02_2.351,Central,12
E:AE63FPRPRF,"32, 33",General Teaching,50,2,Tuesday,14,0226_01_1.02,Central,32
E:AE63FPRPRF,"32, 33",General Teaching,50,2,Tuesday,14,0335_05_5.3,Central,33
E:N7Q98O9PWQ,"9, 10",General Teaching,30,2,Monday,12,0001_00_G.158,Central,9
E:N7Q98O9PWQ,"9, 10",General Teaching,30,2,Monday,12,0001_00_G.158,Central,10
E:WXYD62TFKD,"28, 29",General Teaching,30,2,Thursday,11,0335_04_4.1,Central,28
E:WXYD62TFKD,"28, 29",General Teaching,30,2,Thursday,11,0335_04_4.1,Central,29
E:V6NXXE8U85,"28, 29",General Teaching,35,2,Friday,14,0112_-1_B.01,Central,28
E:V6NXXE8U85,"28, 29",General Teaching,35,2,Friday,14,2714_04_4-H1-003,Bioquarter,29
E:YO1HJRQDYA,"28, 34",Computer Laboratory,40,1,Monday,10,0311_01_1.26,Central,34
E:YO1HJRQDYA,"28, 34",Computer Laboratory,40,1,Monday,10,0227_01_1.02,Central,28
E:FZAVNXQKS8,"11, 12",General Teaching,30,2,Monday,14,0227_00_G.01,Central,11
E:FZAVNXQKS8,"11, 12",General Teaching,30,2,Monday,14,0335_01_1.3,Central,12
E:4BQTRUC7RH,"10, 11",General Teaching,13,1,Tuesday,16,0228_06_6.10,Central,10
E:4BQTRUC7RH,"10, 11",General Teaching,13,1,Tuesday,16,0228_12_12.18,Central,11
E:VMDGHOACW3,"27, 28",General Teaching,14,1,Thursday,12,0551_-1M_M16,Holyrood,27
E:VMDGHOACW3,"27, 28",General Teaching,14,1,Thursday,12,0311_04_4.08,Central,28
E:76JQWDU9EZ,"28, 29",General Teaching,18,1,Monday,14,0227_03_3.03,Central,28
E:76JQWDU9EZ,"28, 29",General Teaching,18,1,Monday,14,0201_02_2.06,Central,29
E:6NNNGFHDL7,"26, 27",General Teaching,65,1,Tuesday,10,0226_-1_LG.18,Central,26
E:6NNNGFHDL7,"26, 27",General Teaching,65,1,Tuesday,10,0226_-1_LG.18,Central,27
E:C6DG51GCBN,"11, 12",General Teaching,16,1,Monday,14,0311_04_4.09,Central,11
E:C6DG51GCBN,"11, 12",General Teaching,16,1,Monday,14,0001_02_2.347,Central,12
E:64QFP5XCLN,"28, 29",General Teaching,23,2,Friday,11,0003_01_1.01,Central,28
E:64QFP5XCLN,"28, 29",General Teaching,23,2,Friday,11,0003_01_1.01,Central,29
E:HG8QHQ8GZV,"9, 10",General Teaching,65,2,Monday,12,0226_-1_LG.11,Central,9
E:HG8QHQ8GZV,"9, 10",General Teaching,65,2,Monday,12,0226_-1_LG.11,Central,10
E:5XTJ1AK2O1,"26, 27",General Teaching,60,1,Monday,9,0335_04_4.3,Central,26
E:5XTJ1AK2O1,"26, 27",General Teaching,60,1,Monday,9,0335_04_4.3,Central,27
E:VI5X3CA9JQ,"10, 11",General Teaching,43,1,Wednesday,9,0227_00_G.05,Central,10
E:VI5X3CA9JQ,"10, 11",General Teaching,43,1,Wednesday,9,0227_00_G.05,Central,11
E:76TU2C3XTK,"26, 28",General Teaching,65,2,Friday,14,0226_-1_LG.14,Central,26
E:76TU2C3XTK,"26, 28",General Teaching,65,2,Friday,14,0226_-1_LG.11,Central,28
E:81A6HRQKBX,"9, 10",General Teaching,100,1,Friday,16,0227_00_G.04,Central,9
E:81A6HRQKBX,"9, 10",General Teaching,100,1,Friday,16,0227_00_G.04,Central,10
E:BT1DEWFUMG,"11, 12",General Teaching,18,1,Tuesday,14,0227_02_2.39,Central,11
