event1,event2,shared_students,week,day,start1,end1,start2,end2
E:2M156O5AJ5,E:H9NTAGKAYT,15,29,Wednesday,2,3,2,3
E:2M156O5AJ5,E:IWI9AL3ODS,1,32,Wednesday,2,3,2,3
E:362EAF6MEQ,E:6G25CBPHHE,11,32,Tuesday,5,6,5,6
E:362EAF6MEQ,E:XTHVVAZKI6,1,32,Tuesday,5,6,5,6
E:3KRS24X6UJ,E:LSVGZUKMIZ,1,10,Friday,2,3,2,3
E:5979VVBY5D,E:9G8VFNELN7,11,9,Monday,3,4,3,4
E:6G25CBPHHE,E:XTHVVAZKI6,1,32,Tuesday,5,6,5,6
E:C53A8OFL6L,E:NNK3UCS1A2,23,32,Thursday,4,5,4,5
E:E2O4F1E6ML,E:E6LNO8CRR8,15,34,Wednesday,4,5,4,5
E:H9NTAGKAYT,E:IWI9AL3ODS,3,29,Wednesday,2,3,2,3
E:QCQ2OFO7HC,E:VWA5HYICF7,10,10,Tuesday,7,8,7,8
E:4SC81ND4HE,E:5QCNQ6CNGX,1,9,Wednesday,4,6,3,5
E:I94GRQNXFE,E:MV6IAAA2TR,13,32,Thursday,3,5,4,6
E:JMIEV7AZHN,E:MV6IAAA2TR,13,33,Thursday,4,6,4,6
E:2CLELNS5BG,E:2VG2PQGAC9,6,32,Wednesday,3,5,3,5
E:2CLELNS5BG,E:61CL532MSR,2,32,Wednesday,3,5,3,5
E:2VG2PQGAC9,E:61CL532MSR,4,32,Wednesday,3,5,3,5
E:5NZ3SS5KKT,E:ZCIRBIQF73,30,26,Friday,0,2,0,2
E:GNV7IY4X2E,E:SPNU1THNX8,1,34,Friday,0,2,1,2
E:HD1DQDP4LY,E:QBB55SEAXC,12,9,Thursday,3,5,3,5
E:Q96R8W62F9,E:WJ8SGSTVP3,16,15,Wednesday,2,4,3,5
E:WZ68ESBPTB,E:XBW5KCSQVX,30,9,Tuesday,4,6,4,6
E:2HKC2JWW38,E:MMCINAM15D,1,9,Wednesday,8,9,8,9
E:KEQ9S59DYN,E:R2XI9DIZZA,7,9,Thursday,5,6,5,6
E:2W4L22EIJ9,E:LMRHXBWL4L,9,10,Friday,1,2,1,3
E:4OJARP6X3Z,E:63A7QSKOKA,11,10,Wednesday,3,5,4,5
E:4OJARP6X3Z,E:JS8KDOSXBC,2,10,Wednesday,3,5,2,4
E:4OJARP6X3Z,E:MBJDGD1F35,10,9,Wednesday,3,5,4,5
E:4OJARP6X3Z,E:QLT6AZRV34,6,19,Wednesday,3,5,4,6
E:4Z2HXNUKWW,E:5KPJSTGNGU,65,17,Tuesday,4,5,3,5
E:63A7QSKOKA,E:MBJDGD1F35,120,10,Wednesday,4,5,4,5
E:75MF1H1OMY,E:LMRHXBWL4L,9,11,Friday,1,2,1,3
E:8ARR3MO21C,E:H82L8CK4UI,2,9,Tuesday,7,8,6,8
E:9N3T3V6ILW,E:BGBRU5XPFR,9,32,Monday,3,4,2,4
E:B8URGJOVII,E:WTWPEH73PQ,61,16,Tuesday,4,5,4,9
E:B8URGJOVII,E:XPVSNZYV8Y_1,26,16,Tuesday,4,5,3,5
E:FTX3BR5OKI,E:KRZV13S7QH,64,18,Tuesday,1,4,1,2
E:FTX3BR5OKI,E:ROZ2GCALPN,65,14,Tuesday,1,4,2,3
E:HO7D61X744,E:IJULEVUUSL,10,18,Monday,1,2,1,3
E:HVPOO8TZPX,E:MMTR8E5LLE,1,25,Monday,2,4,1,3
E:IJULEVUUSL,E:X2G2N2Z4O1,10,10,Monday,1,3,1,2
E:MBJDGD1F35,E:QLT6AZRV34,65,19,Wednesday,4,5,4,6
E:WTWPEH73PQ,E:XPVSNZYV8Y_1,10,16,Tuesday,4,9,3,5
E:M34R27FH4B-00001,E:M34R27FH4B-00002,11,11,Wednesday,0,7,3,9
E:M34R27FH4B-00003,E:M34R27FH4B-00005,11,16,Tuesday,3,9,1,7
E:7OZX9U51SE,E:PGTQVPMY7V,7,18,Monday,0,8,0,8
E:8OS5YUCG6M,E:LEWJYNOAJV,7,36,Monday,0,8,0,8
E:FAP7JP2ERY,E:NB913BTGJ1,7,13,Monday,0,8,0,8
E:I2J5RMYB7I-00001,E:I2J5RMYB7I-00003,29,10,Wednesday,1,9,0,8
E:I2J5RMYB7I-00002,E:I2J5RMYB7I-00004,29,10,Thursday,0,8,1,9
E:I2J5RMYB7I-00005,E:JFU55FU55Z,11,20,Monday,0,8,0,2
E:3T2MU5HNGQ,E:CLZ865CKGB,247,28,Monday,0,1,0,1
E:3QA1DACDAR,E:HO15VGOPTT,7,10,Monday,0,2,0,8
E:3QA1DACDAR,E:HO15VGOPTT-00001,7,10,Monday,0,2,0,8
E:3QA1DACDAR,E:YUF7HL9SZD,13,10,Monday,0,2,0,2
E:3QA1DACDAR,E:ZT75TK1WP6,2,10,Monday,0,2,0,1
E:49E7AR6DR5,E:5RTNWCA5BQ,1,29,Monday,0,2,0,2
E:49E7AR6DR5,E:XM6S9922YI-00001,1,29,Monday,0,2,0,8
E:49E7AR6DR5-00001,E:KVORI8AMQ8,1,30,Monday,0,2,0,2
E:49E7AR6DR5-00001,E:QKGMZP4WQR,1,30,Monday,0,2,0,2
E:4I6LJCOLAG,E:GSTXJ5FAQX,13,11,Monday,0,2,0,2
E:4I6LJCOLAG,E:J1ADJ99LDW,7,13,Monday,0,2,0,8
E:4I6LJCOLAG,E:J1ADJ99LDW-00001,7,13,Monday,0,2,0,8
E:4I6LJCOLAG,E:JJ25VD32X2,4,17,Monday,0,2,0,2
E:4WCKYUIJDS,E:4WCKYUIJDS-00001,7,35,Monday,0,8,0,8
E:4WCKYUIJDS,E:KVORI8AMQ8,3,35,Monday,0,8,0,2
E:4WCKYUIJDS,E:QKGMZP4WQR,6,35,Monday,0,8,0,2
E:4WCKYUIJDS-00001,E:KVORI8AMQ8,3,35,Monday,0,8,0,2
E:4WCKYUIJDS-00001,E:QKGMZP4WQR,6,35,Monday,0,8,0,2
E:5RTNWCA5BQ,E:FD3YM2KGIO,1,36,Monday,0,2,0,3
E:5RTNWCA5BQ,E:XM6S9922YI,3,27,Monday,0,2,0,8
E:5RTNWCA5BQ,E:XM6S9922YI-00001,3,29,Monday,0,2,0,8
E:GSTXJ5FAQX,E:J1ADJ99LDW,5,13,Monday,0,2,0,8
E:GSTXJ5FAQX,E:J1ADJ99LDW-00001,5,13,Monday,0,2,0,8
E:GSTXJ5FAQX,E:JJ25VD32X2,6,17,Monday,0,2,0,2
E:HMZVDV3GNC,E:HMZVDV3GNC-00001,2,33,Monday,0,8,0,8
E:HMZVDV3GNC,E:JMMA74TVAL,1,33,Monday,0,8,0,8
E:HMZVDV3GNC,E:JMMA74TVAL-00001,1,33,Monday,0,8,0,8
E:HMZVDV3GNC,E:KVORI8AMQ8,1,33,Monday,0,8,0,2
E:HMZVDV3GNC,E:QKGMZP4WQR,1,33,Monday,0,8,0,2
E:HMZVDV3GNC-00001,E:JMMA74TVAL,1,33,Monday,0,8,0,8
E:HMZVDV3GNC-00001,E:JMMA74TVAL-00001,1,33,Monday,0,8,0,8
E:HMZVDV3GNC-00001,E:KVORI8AMQ8,1,33,Monday,0,8,0,2
E:HMZVDV3GNC-00001,E:QKGMZP4WQR,1,33,Monday,0,8,0,2
E:HO15VGOPTT,E:HO15VGOPTT-00001,8,10,Monday,0,8,0,8
E:HO15VGOPTT,E:YUF7HL9SZD,6,10,Monday,0,8,0,2
E:HO15VGOPTT,E:ZT75TK1WP6,1,10,Monday,0,8,0,1
E:HO15VGOPTT-00001,E:YUF7HL9SZD,6,10,Monday,0,8,0,2
E:HO15VGOPTT-00001,E:ZT75TK1WP6,1,10,Monday,0,8,0,1
E:J1ADJ99LDW,E:J1ADJ99LDW-00001,12,13,Monday,0,8,0,8
E:JMMA74TVAL,E:JMMA74TVAL-00001,8,33,Monday,0,8,0,8
E:JMMA74TVAL,E:KVORI8AMQ8,2,33,Monday,0,8,0,2
E:JMMA74TVAL,E:QKGMZP4WQR,6,33,Monday,0,8,0,2
E:JMMA74TVAL-00001,E:KVORI8AMQ8,2,33,Monday,0,8,0,2
E:JMMA74TVAL-00001,E:QKGMZP4WQR,6,33,Monday,0,8,0,2
E:KVORI8AMQ8,E:QKGMZP4WQR,9,33,Monday,0,2,0,2
E:PHG66J47DX,E:YUF7HL9SZD,13,16,Monday,0,2,0,2
E:PHG66J47DX,E:ZT75TK1WP6,2,16,Monday,0,2,0,1
E:YUF7HL9SZD,E:ZT75TK1WP6,3,10,Monday,0,2,0,1
E:1K54XPKGLW-00001,E:MUE3ZY48UQ,57,28,Monday,0,1,0,8
E:1K54XPKGLW-00001,E:MUE3ZY48UQ-00001,57,28,Monday,0,1,0,8
E:1K54XPKGLW-00001,E:MUE3ZY48UQ-00002,57,28,Monday,0,1,0,8
